ID,Description,Entry_ID,Antonym,Bibliographical_Reference,Encyclopedic_Info,Etymology_Source,Infobox,Infobox_Teanu,Lexical_Function_Gloss,Literally,Media_IDs,Scientific_Name,Semantic_Domain,Sense_Comment,Synonym,Syntactic_Restriction,Typical_Subject
SN002491,mean ‹s.th.›,LX000477,,,,,,,,,,,,,,,word+
SN002492,"give away ‹s.o.›, denounce publicly",LX000477,,,,,,,,,,,,,,,
SN002493,"call, convene ‹event, meeting+›",LX000477,,,,,,,,,,,,,,,chief
SN002494,"talk, speak, communicate",LX000478,,,,,,,,say words,,,,,LX000276,,
SN002495,"talk about (s.th., [ñe](LX000313)), mention",LX000478,,,,,,,,,,,,,,,
SN002496,"speak (a language, [ñe](LX000313))",LX000478,,,,,,,,,,,,,,,
SN002497,"talk together, discuss",LX000478,,,,,,,,,,,,,LX000506,,group
SN002498,"vine, liana; bark of hibiscus with the elongated shape of a vine",veve_1,,,,,,,,,,,Bot,,tero_1 ; asoe_1,natural,
SN002499,"rope, string, put to various uses",veve_1,,,,,,,,,,,,,tero_1,manmade,
SN002500,Polynesian chestnut,vewo_1,,,,,,,,,,Inocarpus fagifer,Bot,,,,
SN002501,"blow gently onto ‹s.th., s.o.›",LX000479,,,,,,,,,,,,,,,"wind, s.o."
SN002502,blow into ‹wind instrument+› to play music,LX000479,,,,,,,,,,,Mus,esp,,,
SN002503,"attach, tie ‹leaves› onto s.th.",LX000480,,,,,,,,,,,,,,,
SN002504,"attach ‹a prohibition, embodied by a taboo-leaf [nuduro](nuduro_2)› (to s.th., [ñe](LX000313)) in order to reserve it for oneself",LX000480,,,,,,,,,,,,hence,,,
SN002505,"perform a ritual of engagement (to a girl: [se](se_1)) for oneself, or for o.'s son",LX000481,,,,,,,,attach a taboo-leaf,,,,,LX000301 ; LX000425,,
SN002506,hair,via_1,,,,,,,,,,,Anat,arch,,,
SN002507,feather,via_1,,,,,,,,,,,,,,,bird
SN002508,handle ‹of tool›,via_2,,,,,,,,,,,Techn,,,,
SN002509,"clash, fight",LX000482,,,,,,,,,,,,,,,
SN002510,engage in war,LX000482,,,,,,,,,,,,,,,
SN002511,headhair,viabasa_1,,,,,,,,,,,Anat,,,,
SN002512,"hit, trample+",LX000483,,,,,,,,,,,,,,,
SN002513,"kick, touch ‹s.th.› with o.'s feet; step on ‹s.th.›",LX000484,,,,,,,,,,,,,,,s.o.
SN002514,"hit ‹s.th.› with o.'s feet noisily or violently: trample, stomp",LX000484,,,,,,,,,,,,esp,,,s.o.
SN002515,"stumble upon ‹s.th.› with o.'s feet; hence slip, fall",LX000484,,,,,,,,,,,,,LX000395,,s.o.
SN002516,trip ‹s.o.› up,LX000484,,,,,,,,,,,,,,,s.th.
SN002517,"be so plentiful as to trip ‹their owner› up in their garden. Proverbial saying, referring to s.o.'s economic prosperity",LX000484,,,"The grammatical subject, usually [utele](utele_1) ‘root, plant’, is sometimes omitted.",,,,,,,,,fig,,,food plants
SN002518,"hit ‹s.o.›, touch, esp. with some physical impact",LX000484,,,,,,,,,,,,,,,s.th.
SN002519,reach ‹a certain moment›; last ‹a certain time›,LX000484,,,,,,,,,,,,fig,,,event+
SN002520,"become suddenly known to ‹s.o.›, with some emotional impact; hence affect, disturb, move, catch by surprise",LX000484,,,,,,,,,,,,,,,event+
SN002521,"like ‹s.o., s.th.›; want, desire ‹s.o., s.th.›",LX000484,,,,,,,,my desire hits s.th.,,,,freq,,,[awa](awa_1) ‘neck > will’
SN002522,want to do s.th.; want that,LX000484,,,,,,,,,,,,,,foll. by [~ko](LX000166),[awa](awa_1) ‘neck > will’
SN002523,"want, desire",LX000484,,,,,,,,,,,,rare,,,s.o.
SN002524,k.o. reed,viapwene_1,,,Etym.: ‘large feathers’ (?),,,,,,d67eeb6113599895cc510fb3414e7ac6,Miscanthus floridulus,Bot,,,,
SN002525,"shaft of an arrow ([puro](puro_1)), tradit. made of reed",viapwene_1,,,,,,,,,,,,meton,,,
SN002526,"hair, viewed as numerous",viavia_1,,,,,,,,,,,Anat,,,,
SN002527,plumage,viavia_1,,,,,,,,,,,,,,,
SN002528,finger,vidiviko_1,,,,,,,,,,,Anat,,,,hum
SN002529,toe,vidiviko_ne_aele_1,,,,,,,,finger of the foot,,,Anat,,,,
SN002530,Spider shell,vidonge_1,,,,,,,,,,Lambis lambis,Sea,,,,
SN002531,"container for a liquid: bottle, jerrycan",vijele_1,,,,,,,,,,,,,,,
SN002532,Fiji,Viji_1,,,,,,,,,,,Geo,,,,
SN002533,"money, of the customary kind: in Vanikoro shell money, made of cowrie shells",viko_1,,,,,"Traditional shell money: You collect cone shells, cut out the mollusc from it. Then using black stone, you file those shells into a round shape. That's how you made traditional money.","Viko pe noma: Li-loko [aero we anive](aero_we_anive_1), li-si kangele i-ke mina. Li-la voko waboro li-ia aero ñei wablubu, ka li-ejau viko ñei.",,,,,Ethn,,,,
SN002534,"money, of the modern kind; coins, treasure",viko_1,,,,,,,,,,,Mod,,,,
SN002535,price,viko_1,,,,,,,,,,,,,,,
SN002536,"fine, to be paid in order to repair o.'s mistakes",viko_1,,,,,,,,,,,Ethn,,,custom,
SN002537,Palm Lorikeet,vili_1,,,,,,,,,,Charmosyna palmarum,Ornith,,,,
SN002538,Rainbow Lorikeet,vili_1,,,,,,,,,,Trichoglossus haematodus,Ornith,,,,
SN002539,"squeeze, press ‹s.th.›",LX000485,,,,,,,,,,,,,,,
SN002540,"Filimoe: an ancient islet – now submerged – on the west coast of Banie island, near Lale",Vilimoe_1,,,,,,,,,,,Geo,,,,
SN002541,"clothes, esp. for the upper body; dancing gear",vilisa_1,,,,,,,,,,,,,,,s.o.
SN002542,sea spray,vilisa_revo_1,vioe_peini_revo_1,,,,,,,clothes of the sea,,,Sea,,,,
SN002543,tornado,vilisao_1,,,,,,,,,,,,,,,
SN002544,Filisao: the god of hurricanes and tornados,vilisao_2,,,,,,,,,,,Myth,,,,
SN002545,"k.o. grass (unidentified) with white flowers, which dancers commonly stick onto their hair as an ornament",vilitoe_1,,,,,,,,,,,Bot,,,,
SN002546,"plant: generic name for all plants, when a particular species name is not specified",vilo_1,,,,,,,,,,,Bot,gen,,,
SN002547,tree,vilo_1,,,,,,,,,,,,esp,,,
SN002548,wood,vilo_1,,,,,,,,,,,,,,,
SN002549,"piece of wood, stick",vilo_1,,,,,,,,,,,,,mengela_1,,
SN002550,walk,LX000486,,,,,,,,,,,,,,,
