ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
asigo_1,tkw,asigo,noun,,,,loubo_1,,,,,,,,asiᵑgo,,,
asodo_1,tkw,asodo,noun,,,,lekele_1,,,,,,,,asoⁿdo,,asodo,
asoe_1,tkw,asoe,noun,,,,,,,,,,,,asoe,,,
ata_1,tkw,ata,"noun, relational",,,,,"POc: *qata 'soul, spirit'",,,,,,,ata,,ae,
atavono_1,tkw,atavono,noun,,,,,,,,,,,,atavono,,,
ate_1,tkw,ate,postverb,,,,,,,,,,,,ate,,,
atero_1,tkw,atero,noun,,,,ngogoro_1,,,,,,,,atero,,,
LX000045,tkw,~atevo,"verb, transitive",,,,,,,~kumwa,,,,,(i·)atevo,,,
LX000046,tkw,~atili,"verb, intransitive",,,,,,,,,,,,(i·)atili,,,
LX000047,tkw,~ativi,"verb, reflexive",,,,LX000179,,,,,,,,(i·)ativi,,,
atone_1,tkw,atone,noun,,,,LX000109 ; LX000221,,,,,,,,atone,,,
LX000048,tkw,~atui,"verb, intransitive",,,,,,LX000049,~atauki,,,,,(i·)atui,,~atuki,
LX000049,tkw,~atui,"verb, transitive",,,,,,LX000048,~atauki,,,,,(i·)atui,,~atuki,
LX000050,tkw,~au,"verb, transitive",,,,LX000064,,,~ngao,,,,,(i·)au,,~ao,
LX000051,tkw,~au,"verb, transitive",,,,,,,,,,,,(i·)au,,,
aulo_1,tkw,aulo,noun,,,,,,,valvaringa,,,,,aulo,,valvaringa,
ava_1,tkw,ava,"noun, relational",,,,,POc: *kapak,,ava,,,,,ava,,ave,
ava_saba_1,tkw,ava saba,noun,,,ava_1,,,,,,,,,,,,
LX000052,tkw,~ava,"verb, intransitive",,,,,POc: *kapak,,,,,,,(i·)ava,,,
ave_1,tkw,ave,noun,,,,,,,,,,,,ave,,,
bea_ave_1,tkw,bea ave,noun,,,ave_1,,,,,,,,,,,,
moe_ie_ave_1,tkw,moe ie ave,noun,,,ave_1,,,,,,,,,,,,
LX000053,tkw,~avi,"verb, transitive",,,,LX000064 ; aviro_1,,,,,,,,(i·)avi,,,
avie_1,tkw,avie,noun,,,,,POc: *kapika,,,,,,,avie,,,
aviro_1,tkw,aviro,noun,,,,LX000053,,,,,Cf. [~avi](LX000053),,,aviro,,,
LX000054,tkw,~avo,"verb, intransitive",,,,LX000202,,,~luru,,,,,(i·)avo,,~nadou,
LX000055,tkw,~avo,"verb, transitive",,,,,,,,,,,,(i·)avo,,,
avtebe_1,tkw,avtebe,noun,,,,avtebe_1 ; bute_1 ; jebute_1 ; vioe_1 ; vioe_die_1 ; vioe_talabao_1 ; vivilo_1 ; jie_1 ; tongo_1 ; LX000423 ; LX000215 ; LX000008,,,,,,,,afteᵐbe,,,
avutone_1,tkw,avutone,noun,,,,veve_1 ; tero_1,,,,,,,,afutone,,,
awa_1,tkw,awa,"noun, relational",,,,LX000056 ; LX000057 ; LX000502,,,warene,,,,,awa,,vasare,
LX000056,tkw,awa ~ko,construction,,,,,,,,,[awa](awa_1) + [~ko](LX000166),,,awa (i·)ko,,,
LX000057,tkw,awa ~viane,construction,,,,,,,,,[awa](awa_1) + [~viane](LX000484),,,awa (i·)vjane,,,awa ~viaene
awene_1,tkw,awene,noun,,,,awene_1 ; visiboko_1 ; iawo_1 ; LX000053 ; aviro_1 ; iunubo_1 ; mama_2 ; vekai_1 ; LX000464 ; LX000411 ; LX000041 ; motoe_1 ; moioe_1,,,epene,,,,,awene,,pavene,
awis_1,tkw,awis,interjection,,,,,,awis_2,,,,,,awis,,,awisi
awis_2,tkw,awis,noun,,,,,,awis_1,,,,,,awis,,,
awo_1,tkw,awo,noun,,,,LX000139,,,,,,,,awo,,,
awoiu_1,tkw,awoiu,predicative,,,,,,awoiu_2 ; awoiu_3 ; awoiu_4,awioko,,,,,awoiu,,(mo)awoiu,
awoiu_2,tkw,awoiu,aspect,,,,katae_ka_1,,awoiu_1 ; awoiu_3 ; awoiu_4,awioko,,,,,awoiu,,(mo)awoiu,
awoiu_3,tkw,awoiu,coordinator,,,,,,awoiu_1 ; awoiu_2 ; awoiu_4,awioko,,,,,awoiu,,(mo)awoiu,
awoiu_4,tkw,awoiu,quantifier,,,,,,awoiu_1 ; awoiu_2 ; awoiu_3,awioko,,,,,awoiu,,(mo)awoiu,
ba_1,tkw,ba,interjection,,,,,,,,,,,,ᵐba,,,
ba_2,tkw,ba,noun,,,,kukubo_1,,,,,,,,ᵐba,,,
ba-_1,tkw,ba-,subject prefix,,,,keba_1 ; kela_1,,,ba- / nuba-,,,,,ᵐba·,,"ba- / be-, bi-",bai-
bai-_1,tkw,bai-,subject prefix,,,,,,,,,,,,ᵐbaj-,,,
balawe_1,tkw,balawe,noun,,,,,,,bainavu,,,,,ᵐbalawe,,bainapu,
bale_1,tkw,bale,noun,,,,,POc: *ᵐbaReko,,miwe,,,,,ᵐbale,,baloe,
bali_1,tkw,bali,noun,,,,nengele_moe_1,,,,,,,,ᵐbali,,,
